File	human_alcor2_filtered_0.1_sorted.bed	human_alcor2_filtered_0.2_sorted.bed	human_alcor2_filtered_0.3_sorted.bed	human_alcor2_filtered_0.4_sorted.bed	human_alcor2_filtered_0.5_sorted.bed	human_alcor2_filtered_0.6_sorted.bed	human_alcor2_filtered_0.7_sorted.bed	human_alcor2_filtered_0.8_sorted.bed	human_alcor2_filtered_0.9_sorted.bed	human_alcor2_processed_sorted.bed	human_alcor_filtered_0.1_sorted.bed	human_alcor_filtered_0.2_sorted.bed	human_alcor_filtered_0.3_sorted.bed	human_alcor_filtered_0.4_sorted.bed	human_alcor_filtered_0.5_sorted.bed	human_alcor_filtered_0.6_sorted.bed	human_alcor_filtered_0.7_sorted.bed	human_alcor_filtered_0.8_sorted.bed	human_alcor_filtered_0.9_sorted.bed	human_alcor_processed_sorted.bed	human_dotplot_filtered_0.1_sorted.bed	human_dotplot_filtered_0.2_sorted.bed	human_dotplot_filtered_0.3_sorted.bed	human_dotplot_filtered_0.4_sorted.bed	human_dotplot_filtered_0.5_sorted.bed	human_dotplot_filtered_0.6_sorted.bed	human_dotplot_filtered_0.7_sorted.bed	human_dotplot_filtered_0.8_sorted.bed	human_dotplot_filtered_0.9_sorted.bed	human_dotplot_processed_sorted.bed	human_flps2_filtered_0.1_sorted.bed	human_flps2_filtered_0.2_sorted.bed	human_flps2_filtered_0.3_sorted.bed	human_flps2_filtered_0.4_sorted.bed	human_flps2_filtered_0.5_sorted.bed	human_flps2_filtered_0.6_sorted.bed	human_flps2_filtered_0.7_sorted.bed	human_flps2_filtered_0.8_sorted.bed	human_flps2_filtered_0.9_sorted.bed	human_flps2_processed_sorted.bed	human_flps2_strict_filtered_0.1_sorted.bed	human_flps2_strict_filtered_0.2_sorted.bed	human_flps2_strict_filtered_0.3_sorted.bed	human_flps2_strict_filtered_0.4_sorted.bed	human_flps2_strict_filtered_0.5_sorted.bed	human_flps2_strict_filtered_0.6_sorted.bed	human_flps2_strict_filtered_0.7_sorted.bed	human_flps2_strict_filtered_0.8_sorted.bed	human_flps2_strict_filtered_0.9_sorted.bed	human_flps2_strict_processed_sorted.bed	human_flps_filtered_0.1_sorted.bed	human_flps_filtered_0.2_sorted.bed	human_flps_filtered_0.3_sorted.bed	human_flps_filtered_0.4_sorted.bed	human_flps_filtered_0.5_sorted.bed	human_flps_filtered_0.6_sorted.bed	human_flps_filtered_0.7_sorted.bed	human_flps_filtered_0.8_sorted.bed	human_flps_filtered_0.9_sorted.bed	human_flps_processed_sorted.bed	human_flps_strict_filtered_0.1_sorted.bed	human_flps_strict_filtered_0.2_sorted.bed	human_flps_strict_filtered_0.3_sorted.bed	human_flps_strict_filtered_0.4_sorted.bed	human_flps_strict_filtered_0.5_sorted.bed	human_flps_strict_filtered_0.6_sorted.bed	human_flps_strict_filtered_0.7_sorted.bed	human_flps_strict_filtered_0.8_sorted.bed	human_flps_strict_filtered_0.9_sorted.bed	human_flps_strict_processed_sorted.bed	human_lcrfinder_filtered_0.1_sorted.bed	human_lcrfinder_filtered_0.2_sorted.bed	human_lcrfinder_filtered_0.3_sorted.bed	human_lcrfinder_filtered_0.4_sorted.bed	human_lcrfinder_filtered_0.5_sorted.bed	human_lcrfinder_filtered_0.6_sorted.bed	human_lcrfinder_filtered_0.7_sorted.bed	human_lcrfinder_filtered_0.8_sorted.bed	human_lcrfinder_filtered_0.9_sorted.bed	human_lcrfinder_processed_sorted.bed	human_seg_filtered_0.1_sorted.bed	human_seg_filtered_0.2_sorted.bed	human_seg_filtered_0.3_sorted.bed	human_seg_filtered_0.4_sorted.bed	human_seg_filtered_0.5_sorted.bed	human_seg_filtered_0.6_sorted.bed	human_seg_filtered_0.7_sorted.bed	human_seg_filtered_0.8_sorted.bed	human_seg_filtered_0.9_sorted.bed	human_seg_intermediate_filtered_0.1_sorted.bed	human_seg_intermediate_filtered_0.2_sorted.bed	human_seg_intermediate_filtered_0.3_sorted.bed	human_seg_intermediate_filtered_0.4_sorted.bed	human_seg_intermediate_filtered_0.5_sorted.bed	human_seg_intermediate_filtered_0.6_sorted.bed	human_seg_intermediate_filtered_0.7_sorted.bed	human_seg_intermediate_filtered_0.8_sorted.bed	human_seg_intermediate_filtered_0.9_sorted.bed	human_seg_intermediate_processed_sorted.bed	human_seg_processed_sorted.bed	human_seg_strict_filtered_0.1_sorted.bed	human_seg_strict_filtered_0.2_sorted.bed	human_seg_strict_filtered_0.3_sorted.bed	human_seg_strict_filtered_0.4_sorted.bed	human_seg_strict_filtered_0.5_sorted.bed	human_seg_strict_filtered_0.6_sorted.bed	human_seg_strict_filtered_0.7_sorted.bed	human_seg_strict_filtered_0.8_sorted.bed	human_seg_strict_filtered_0.9_sorted.bed	human_seg_strict_processed_sorted.bed	human_treks_filtered_0.1_sorted.bed	human_treks_filtered_0.2_sorted.bed	human_treks_filtered_0.3_sorted.bed	human_treks_filtered_0.4_sorted.bed	human_treks_filtered_0.5_sorted.bed	human_treks_filtered_0.6_sorted.bed	human_treks_filtered_0.7_sorted.bed	human_treks_filtered_0.8_sorted.bed	human_treks_filtered_0.9_sorted.bed	human_treks_processed_sorted.bed	human_xstream_filtered_0.1_sorted.bed	human_xstream_filtered_0.2_sorted.bed	human_xstream_filtered_0.3_sorted.bed	human_xstream_filtered_0.4_sorted.bed	human_xstream_filtered_0.5_sorted.bed	human_xstream_filtered_0.6_sorted.bed	human_xstream_filtered_0.7_sorted.bed	human_xstream_filtered_0.8_sorted.bed	human_xstream_filtered_0.9_sorted.bed	human_xstream_processed_sorted.bed
human_alcor_filtered_0.1_sorted.bed	0.694371	0.184073	0.0514761	0.0211952	0.0132098	0.0112244	0.00736243	0.00380171	0.000530961	0.679834	1	0.246355	0.0670242	0.0281238	0.0169398	0.0137019	0.00800167	0.00376185	0.000492098	0.944101	0.0357438	0.0356203	0.0353445	0.0300383	0.0165689	0.0086569	0.00146526	0.000169605	0	0.0357438	0.0984835	0.0728757	0.0485996	0.0222764	0.0129695	0.00760077	0.00489184	0.00295635	0.00161586	0.0982302	0.0907029	0.0638176	0.0477631	0.0264736	0.0174528	0.0129178	0.00777367	0.00537736	0.00320159	0.091876	0.0982769	0.0723858	0.0485755	0.0227887	0.012396	0.00730117	0.00474465	0.00284653	0.00145018	0.0984708	0.0890699	0.0647472	0.0487393	0.0262268	0.0171293	0.0128492	0.00762942	0.00528235	0.00307279	0.0912057	0.0313269	0.0313276	0.0309006	0.0278795	0.0230715	0.0186885	0.01172	0.00772063	0.00502688	0.0313269	0.0543646	0.0542896	0.050477	0.030188	0.0157281	0.0103024	0.00487259	0.00298942	0.00166563	0.0332126	0.033205	0.0316544	0.02353	0.0136834	0.00936603	0.0043288	0.00276501	0.00154876	0.0332126	0.0543646	0.0183203	0.0183203	0.0183203	0.0181559	0.015513	0.0123424	0.00634999	0.00372075	0.00204258	0.0183203	0.118926	0.0536017	0.0378259	0.0241015	0.0147461	0.0108987	0.00677583	0.00563781	0.0052546	0.120821	0.0799581	0.0205105	0.00830527	0.00133192	0.000484984	0.000484984	0	0	0	0.0811713
human_alcor_filtered_0.2_sorted.bed	0.175853	0.444117	0.196872	0.0853374	0.0534322	0.04545	0.0298358	0.0154222	0.00215516	0.167403	0.246355	1	0.272064	0.11416	0.068762	0.0556185	0.0324803	0.0152701	0.00199752	0.232584	0.0620301	0.0619116	0.0620023	0.0604009	0.0497001	0.0340901	0.0059208	0.000688172	0	0.0620301	0.0260565	0.0560317	0.0711031	0.0541959	0.0420821	0.0279887	0.0188648	0.0117728	0.00650097	0.0253123	0.0294718	0.0676425	0.0714211	0.0587475	0.0475259	0.0402886	0.0256698	0.019211	0.0116587	0.0275814	0.0262463	0.0548723	0.068183	0.0524017	0.0426256	0.0278908	0.0187529	0.0115033	0.0058805	0.0255569	0.030259	0.0697748	0.0734207	0.0590714	0.04724	0.0405449	0.0255992	0.0191002	0.0114866	0.0286848	0.0657782	0.0657886	0.0653706	0.0630246	0.0563324	0.0485174	0.0346293	0.0246806	0.0154738	0.0657782	0.0636382	0.0637268	0.0686778	0.0595891	0.0471578	0.0362817	0.0177551	0.0115204	0.00662451	0.0848366	0.0848288	0.085047	0.0710522	0.0478801	0.0361456	0.0172785	0.0111335	0.00626517	0.0848366	0.0636382	0.0662411	0.0662411	0.0662411	0.0657906	0.0570433	0.0465564	0.0252428	0.0149743	0.00824388	0.0662411	0.109493	0.125447	0.108126	0.0810597	0.0542334	0.0426798	0.0270379	0.0226319	0.0211043	0.108779	0.0730443	0.079724	0.0326616	0.00515709	0.00196808	0.00196808	0	0	0	0.072716
human_alcor_filtered_0.3_sorted.bed	0.0531917	0.198319	0.476867	0.303195	0.193934	0.165581	0.108992	0.0565601	0.00791998	0.0504042	0.0670242	0.272064	1	0.419606	0.252742	0.204432	0.119385	0.0561268	0.00734209	0.0632776	0.0707552	0.0707944	0.0715706	0.0787362	0.103695	0.114429	0.0214205	0.00252572	0	0.0707552	0.00757561	0.0269456	0.0680344	0.0885238	0.102512	0.0839553	0.0633551	0.0419082	0.0235697	0.00715803	0.0107751	0.0400703	0.0682876	0.085806	0.0927725	0.0942894	0.0689408	0.058345	0.0377452	0.0094836	0.00764196	0.0261887	0.0644531	0.081455	0.111195	0.0877602	0.0642214	0.0417152	0.0215356	0.00723314	0.0112926	0.0419636	0.0692696	0.0867104	0.093873	0.0961712	0.070116	0.0590643	0.0381023	0.0101146	0.086073	0.0860977	0.0871719	0.0911106	0.0913787	0.0873404	0.0745775	0.0638959	0.0415419	0.086073	0.0499074	0.0501099	0.0605519	0.0757227	0.098138	0.0993522	0.0555196	0.0393329	0.0232192	0.135121	0.135142	0.140197	0.139523	0.126172	0.114291	0.0594097	0.0396399	0.0224731	0.135121	0.0499074	0.181604	0.181604	0.181604	0.181503	0.164873	0.144624	0.0863579	0.0533746	0.0296264	0.181604	0.0859876	0.131011	0.175494	0.187492	0.159627	0.140912	0.0945621	0.0804128	0.0751675	0.0848949	0.0443556	0.0848814	0.0899288	0.0188063	0.00722654	0.00722654	0	0	0	0.0438025
human_alcor_filtered_0.4_sorted.bed	0.0241038	0.0965204	0.306511	0.584786	0.447957	0.386864	0.255634	0.134227	0.0188679	0.0228206	0.0281238	0.11416	0.419606	1	0.602331	0.487199	0.284516	0.133761	0.0174976	0.0265517	0.0552971	0.0553298	0.0560674	0.0708545	0.131849	0.23478	0.0498053	0.00600244	0	0.0552971	0.00324737	0.0130463	0.0373884	0.0912549	0.146614	0.144056	0.126088	0.0928582	0.0540932	0.0030461	0.00507881	0.0209218	0.0381246	0.0849075	0.111984	0.130568	0.107178	0.104802	0.0736534	0.00440602	0.00327111	0.0126738	0.0353306	0.0827075	0.166934	0.16026	0.135135	0.09563	0.0501225	0.00307718	0.00537728	0.0219974	0.0386414	0.0864057	0.114341	0.134112	0.110679	0.107947	0.076253	0.00475409	0.0730343	0.0730674	0.0743611	0.0823777	0.0920098	0.0960578	0.0934985	0.0950347	0.0648574	0.0730343	0.0283856	0.0285027	0.035497	0.067698	0.123636	0.159722	0.104173	0.0811534	0.0502177	0.114481	0.114495	0.121058	0.157397	0.193941	0.214384	0.126453	0.0882421	0.0506932	0.114481	0.0283856	0.284769	0.284769	0.284769	0.285739	0.275163	0.264431	0.180308	0.119497	0.0670513	0.284769	0.0505874	0.0805762	0.116078	0.205343	0.263129	0.275994	0.204112	0.179306	0.168036	0.0498871	0.0167608	0.0441982	0.0590017	0.0428235	0.017189	0.017189	0	0	0	0.0164721
human_alcor_filtered_0.5_sorted.bed	0.015599	0.063863	0.214114	0.47259	0.669564	0.620043	0.417149	0.221787	0.0313119	0.0147647	0.0169398	0.068762	0.252742	0.602331	1	0.808856	0.472358	0.222072	0.0290498	0.0159929	0.0376974	0.0377198	0.0382732	0.0509327	0.138182	0.336543	0.0810035	0.00993378	0	0.0376974	0.00196031	0.00788852	0.0229502	0.0707584	0.159739	0.182583	0.177084	0.140523	0.0841044	0.00183859	0.00311651	0.0128095	0.023466	0.062875	0.112683	0.145258	0.125425	0.132718	0.0993838	0.00270013	0.00197579	0.00769705	0.021914	0.0643653	0.18677	0.210415	0.195875	0.148893	0.0789433	0.00185834	0.00329762	0.0134564	0.0237166	0.0636864	0.115399	0.149831	0.130749	0.137933	0.104446	0.00291356	0.0550911	0.0551167	0.0561411	0.0634808	0.0792561	0.0935766	0.0969338	0.108396	0.0752149	0.0550911	0.0175462	0.017626	0.0221088	0.0476694	0.128569	0.194536	0.141099	0.119014	0.0775494	0.0777544	0.0777489	0.0822709	0.11928	0.220578	0.288637	0.188162	0.138406	0.0816486	0.0777544	0.0175462	0.27482	0.27482	0.27482	0.27654	0.312543	0.347628	0.265541	0.189552	0.108924	0.27482	0.0313303	0.0501959	0.0730895	0.141385	0.271313	0.374908	0.302706	0.27384	0.257126	0.0308927	0.00457878	0.0136115	0.0210149	0.0307836	0.0284751	0.0284751	0	0	0	0.00449422
human_alcor_filtered_0.6_sorted.bed	0.0132577	0.0548043	0.187212	0.429481	0.640671	0.721986	0.504459	0.272537	0.0387018	0.0125476	0.0137019	0.0556185	0.204432	0.487199	0.808856	1	0.583983	0.27455	0.0359146	0.0129359	0.0306419	0.0306601	0.0310658	0.0419109	0.12619	0.375212	0.0989483	0.0122582	0	0.0306419	0.00158671	0.00638461	0.0186895	0.0596565	0.147206	0.181788	0.191703	0.159958	0.0973034	0.0014886	0.0025292	0.0103787	0.0190724	0.0524743	0.101715	0.140135	0.1249	0.137067	0.105987	0.00219113	0.00159944	0.00622657	0.0177335	0.0539787	0.169024	0.215438	0.217391	0.174397	0.0933525	0.00150454	0.00267611	0.0109102	0.0193006	0.0529756	0.104391	0.144784	0.130677	0.142772	0.112299	0.00236409	0.0464678	0.0464895	0.0473572	0.0535505	0.0680998	0.085311	0.0930235	0.108872	0.0760923	0.0464678	0.0142246	0.0142894	0.0179211	0.0398735	0.1146	0.196286	0.153636	0.13466	0.0900047	0.0642528	0.0642399	0.0680092	0.101087	0.201418	0.303782	0.216039	0.16377	0.0969231	0.0642528	0.0142246	0.242996	0.242996	0.242996	0.244812	0.286662	0.360101	0.302209	0.227617	0.132282	0.242996	0.0257652	0.0413806	0.0603972	0.117806	0.235858	0.381703	0.341491	0.313967	0.294615	0.0254043	0.00382748	0.0121253	0.0195107	0.0311793	0.0335038	0.0335038	0	0	0	0.00375506
human_alcor_filtered_0.7_sorted.bed	0.00827545	0.0344135	0.119844	0.285077	0.441771	0.51702	0.722483	0.435526	0.0662113	0.00783141	0.00800167	0.0324803	0.119385	0.284516	0.472358	0.583983	1	0.470134	0.0614994	0.00755438	0.0179075	0.0179181	0.0181742	0.0244143	0.0753102	0.259121	0.160483	0.0208446	0	0.0179075	0.000927075	0.00368539	0.0103145	0.0325884	0.0806826	0.144782	0.206801	0.217941	0.140282	0.000868978	0.00147521	0.00596297	0.0109424	0.0300969	0.0581109	0.0818476	0.115063	0.142627	0.119691	0.00127918	0.000934253	0.00357837	0.00979092	0.0295594	0.0936836	0.17668	0.247628	0.25912	0.144495	0.000878486	0.00155946	0.0062677	0.0110715	0.0304202	0.0598978	0.084902	0.121429	0.150221	0.129282	0.00137851	0.0281467	0.0281599	0.028688	0.0324713	0.041716	0.0533062	0.0796273	0.104992	0.080601	0.0281467	0.00819824	0.00823556	0.0103184	0.0229095	0.067171	0.120246	0.16768	0.172859	0.127718	0.0370525	0.0370248	0.0392133	0.0583503	0.119258	0.190699	0.265077	0.233519	0.146679	0.0370525	0.00819824	0.141043	0.141043	0.141043	0.142061	0.168607	0.228126	0.347176	0.323557	0.201477	0.141043	0.0144036	0.0231742	0.0339187	0.0667371	0.136401	0.229891	0.379383	0.410516	0.395035	0.0142012	0.000117469	0.000410878	0	0	0	0	0	0	0	0.000115152
human_alcor_filtered_0.8_sorted.bed	0.00425969	0.0177767	0.062632	0.152439	0.241539	0.285766	0.429205	0.661754	0.12601	0.00403089	0.00376185	0.0152701	0.0561268	0.133761	0.222072	0.27455	0.470134	1	0.130813	0.00355157	0.0084189	0.00842391	0.00860233	0.0117501	0.0371231	0.166774	0.278834	0.0435177	0	0.0084189	0.00043661	0.0017554	0.00481642	0.0159969	0.042152	0.0835181	0.138308	0.202734	0.162	0.000409016	0.000699335	0.00286525	0.00526507	0.0147336	0.0286168	0.0437227	0.0656663	0.0945045	0.0871764	0.000605462	0.00044046	0.00169979	0.00466399	0.0147586	0.0496481	0.103678	0.169826	0.270729	0.194297	0.000413388	0.00074021	0.0030103	0.00532406	0.0149234	0.029652	0.0455963	0.0697079	0.101372	0.0963592	0.000653272	0.0136948	0.0137012	0.0139589	0.0158788	0.0204874	0.0265026	0.0417028	0.0621445	0.0522053	0.0136948	0.00390992	0.00392773	0.00496268	0.0114433	0.0342706	0.0683962	0.107286	0.143388	0.118555	0.0176609	0.0176713	0.0188432	0.0286817	0.0611514	0.113297	0.191704	0.219657	0.153919	0.0176609	0.00390992	0.0682646	0.0682646	0.0682646	0.0691428	0.0825694	0.115732	0.217535	0.293072	0.202003	0.0682646	0.00736438	0.0118853	0.0174479	0.0346319	0.0722253	0.12623	0.232025	0.286309	0.295441	0.00726048	0.000121759	0.000468631	0	0	0	0	0	0	0	0.000119271
human_alcor_filtered_0.9_sorted.bed	0.000591711	0.00247169	0.00873584	0.021397	0.0341183	0.040493	0.0616071	0.121559	0.379391	0.000559919	0.000492098	0.00199752	0.00734209	0.0174976	0.0290498	0.0359146	0.0614994	0.130813	1	0.00046459	0.0011013	0.00110195	0.00112529	0.00158217	0.00532291	0.0283078	0.161511	0.270042	0	0.0011013	0.0000572486	0.000238756	0.000690733	0.00243167	0.00685338	0.0151272	0.0246481	0.0464509	0.0816266	0.0000535422	0.0000921095	0.000379763	0.000699064	0.00200947	0.00421808	0.00702652	0.0109232	0.0179771	0.0277954	0.0000795572	0.0000576855	0.000230129	0.000687531	0.00228594	0.00831395	0.0194299	0.0318609	0.0707965	0.131025	0.00005414	0.0000974471	0.000398892	0.000706543	0.00202693	0.00433751	0.00719712	0.0115509	0.0192232	0.0316797	0.0000858598	0.00186366	0.00186454	0.00189966	0.00216138	0.00280512	0.00366	0.00604039	0.0105444	0.0109136	0.00186366	0.000508188	0.000510503	0.000644995	0.00152977	0.00482062	0.0111488	0.0203852	0.0362235	0.0512545	0.00229032	0.00229168	0.00245054	0.00386134	0.00884772	0.0189689	0.0396833	0.0630661	0.0866667	0.00229032	0.000508188	0.00895937	0.00895937	0.00895937	0.00910201	0.0110168	0.0155116	0.033502	0.0696021	0.0912687	0.00895937	0.00113383	0.00183247	0.00269484	0.00538515	0.0114182	0.0203463	0.038991	0.0520557	0.0558978	0.00111779	0	0	0	0	0	0	0	0	0	0
human_alcor_processed_sorted.bed	0.691108	0.174883	0.0486525	0.0200121	0.0124722	0.0105974	0.00695109	0.00358924	0.000501282	0.723751	0.944101	0.232584	0.0632776	0.0265517	0.0159929	0.0129359	0.00755438	0.00355157	0.00046459	1	0.0346432	0.0345246	0.0342535	0.0290245	0.0158659	0.00818843	0.00138343	0.000160125	0	0.0346432	0.102433	0.0730463	0.0476955	0.0213702	0.0123378	0.00720077	0.00462453	0.00279154	0.00152563	0.103073	0.0925215	0.0628794	0.0465013	0.025483	0.0166954	0.0123059	0.00737745	0.00509115	0.00303079	0.0948237	0.102227	0.0727198	0.0477116	0.0219192	0.0117511	0.00690771	0.00448668	0.0026876	0.00136914	0.103339	0.0907463	0.0637543	0.0474212	0.0252349	0.0163696	0.012237	0.00723707	0.00499773	0.00290559	0.0940619	0.0299303	0.0299309	0.0295196	0.0266151	0.0219755	0.0177808	0.0111153	0.00731635	0.00476649	0.0299303	0.0532037	0.0531287	0.0492326	0.0290968	0.0150326	0.00975577	0.00460352	0.00282325	0.00157279	0.03167	0.0316627	0.0301737	0.0223844	0.0130046	0.00885583	0.00408804	0.00261079	0.00146228	0.03167	0.0532037	0.0173267	0.0173267	0.0173267	0.0171706	0.0146665	0.0116631	0.00599719	0.00351316	0.0019285	0.0173267	0.115772	0.0510968	0.0359612	0.0228255	0.0139441	0.0103003	0.00639858	0.00532344	0.00496154	0.117892	0.0766455	0.0193702	0.00784196	0.00125748	0.000457877	0.000457877	0	0	0	0.0782739
human_dotplot_filtered_0.1_sorted.bed	0.0344061	0.0534505	0.0569385	0.044033	0.0318588	0.0269412	0.0177058	0.00896856	0.00122784	0.0335634	0.0357438	0.0620301	0.0707552	0.0552971	0.0376974	0.0306419	0.0179075	0.0084189	0.0011013	0.0346432	1	0.999405	0.978676	0.696068	0.206898	0.0381144	0.00528307	0.000684109	0.000158176	1	0.0499566	0.143226	0.241959	0.217948	0.118756	0.0572586	0.0275998	0.0128439	0.00579735	0.0473198	0.0700455	0.223891	0.320252	0.316427	0.206017	0.128808	0.0742547	0.0424436	0.0222211	0.0621005	0.0503696	0.144199	0.24291	0.223296	0.103966	0.0478566	0.02326	0.00918605	0.00400184	0.0477797	0.0733785	0.232981	0.325141	0.320953	0.20698	0.130635	0.0746417	0.0424651	0.0218759	0.0660925	0.2557	0.255714	0.255539	0.250375	0.20953	0.167457	0.122373	0.0736852	0.0495236	0.2557	0.370672	0.371117	0.393233	0.358083	0.178824	0.0841106	0.038026	0.0194196	0.00991985	0.313429	0.313235	0.300466	0.215141	0.105037	0.0508033	0.0216826	0.0114302	0.00598892	0.313429	0.370672	0.113895	0.113895	0.113895	0.112111	0.0927068	0.0646354	0.0287229	0.0128755	0.00653463	0.113895	0.125004	0.154676	0.168937	0.141612	0.0820917	0.0473476	0.0247149	0.0184789	0.0171996	0.124081	0.00924684	0.00902851	0.00753061	0.00269446	0.00127131	0.00127131	0	0	0	0.00922263
human_dotplot_filtered_0.2_sorted.bed	0.0342804	0.0533291	0.0569625	0.044059	0.0318778	0.0269572	0.0177163	0.0089739	0.00122857	0.0334314	0.0356203	0.0619116	0.0707944	0.0553298	0.0377198	0.0306601	0.0179181	0.00842391	0.00110195	0.0345246	0.999405	1	0.979259	0.696482	0.207021	0.0381371	0.00528621	0.000684517	0.00015827	0.999405	0.0499268	0.143194	0.241926	0.217971	0.118791	0.057278	0.027602	0.0128515	0.0058008	0.0472919	0.0700046	0.22386	0.320231	0.316437	0.206099	0.128868	0.0742838	0.0424687	0.0222343	0.062065	0.0503403	0.144169	0.242869	0.223302	0.104027	0.0478851	0.0232738	0.00919152	0.00400423	0.0477521	0.0733391	0.23295	0.325133	0.320947	0.207063	0.130696	0.0746711	0.0424903	0.0218889	0.0660576	0.255689	0.255702	0.255643	0.250481	0.20964	0.167548	0.122443	0.0737282	0.0495526	0.255689	0.370642	0.371087	0.393318	0.35821	0.178903	0.0841605	0.0380486	0.0194312	0.00992575	0.313412	0.313218	0.30063	0.215264	0.105099	0.0508335	0.0216955	0.011437	0.00599249	0.313412	0.370642	0.113892	0.113892	0.113892	0.112178	0.092762	0.0646739	0.02874	0.0128832	0.00653852	0.113892	0.124936	0.1546	0.168874	0.141587	0.0821405	0.0473758	0.0247297	0.0184899	0.0172099	0.124013	0.00920137	0.00903363	0.00753502	0.00269606	0.00127206	0.00127206	0	0	0	0.00917734
human_dotplot_filtered_0.3_sorted.bed	0.0339745	0.0533798	0.0577056	0.0447574	0.0323714	0.0274265	0.0180134	0.0091395	0.00123032	0.0331309	0.0353445	0.0620023	0.0715706	0.0560674	0.0382732	0.0310658	0.0181742	0.00860233	0.00112529	0.0342535	0.978676	0.979259	1	0.711234	0.211406	0.0389449	0.00539818	0.000699015	0.000161622	0.978676	0.0488825	0.140223	0.238734	0.216954	0.11901	0.0574886	0.0276633	0.0129252	0.00579362	0.0463017	0.0685448	0.219968	0.3159	0.313868	0.20544	0.128409	0.0738039	0.0422241	0.0219675	0.0607647	0.0492857	0.141136	0.239573	0.221962	0.104752	0.0484749	0.0235909	0.00935765	0.00406064	0.0467556	0.071799	0.228874	0.320666	0.318243	0.20637	0.130201	0.0741641	0.0422265	0.0216101	0.0646695	0.251911	0.251924	0.252853	0.249711	0.210041	0.168175	0.123096	0.074219	0.0498394	0.251911	0.362777	0.363341	0.391817	0.362661	0.18206	0.0856102	0.0386581	0.0197004	0.0100604	0.3094	0.309299	0.302065	0.218855	0.107082	0.0518007	0.0220993	0.0116629	0.00610315	0.3094	0.362777	0.114835	0.114835	0.114835	0.113556	0.0942281	0.0658258	0.0292427	0.0131376	0.00665871	0.114835	0.124133	0.15399	0.168557	0.142712	0.083208	0.0480997	0.0250981	0.0187271	0.0174202	0.123206	0.0093022	0.00919633	0.00767204	0.00275311	0.00129901	0.00129901	0	0	0	0.00927733
human_dotplot_filtered_0.4_sorted.bed	0.0297588	0.054351	0.0655965	0.0577915	0.0437309	0.03737	0.0243661	0.0125682	0.00172982	0.0289101	0.0300383	0.0604009	0.0787362	0.0708545	0.0509327	0.0419109	0.0244143	0.0117501	0.00158217	0.0290245	0.696068	0.696482	0.711234	1	0.297238	0.0547567	0.00758987	0.000982821	0.000227242	0.696068	0.0348608	0.103372	0.198051	0.237404	0.150218	0.0736493	0.0354421	0.0166686	0.00738087	0.0329836	0.0495509	0.166403	0.258831	0.333651	0.245885	0.155819	0.0879297	0.050453	0.0254931	0.0438181	0.0351182	0.104145	0.197701	0.239513	0.133893	0.0634145	0.0308991	0.0125729	0.00541793	0.0332961	0.0518421	0.172785	0.261481	0.339128	0.248689	0.158738	0.0887705	0.0508537	0.0254301	0.0466116	0.231566	0.231611	0.233281	0.242263	0.227302	0.192936	0.1477	0.0920713	0.0607135	0.231566	0.263282	0.263986	0.302177	0.387574	0.243603	0.116228	0.0525596	0.0268238	0.0136694	0.302056	0.302069	0.304094	0.274419	0.146953	0.0715702	0.03064	0.0161122	0.00842921	0.302056	0.263282	0.144003	0.144003	0.144003	0.144098	0.12524	0.0889903	0.039663	0.0180406	0.0091758	0.144003	0.109204	0.141643	0.163167	0.16648	0.10882	0.0646374	0.0334839	0.0248678	0.0230765	0.108254	0.00920942	0.010065	0.00899422	0.00365306	0.00174672	0.00174672	0	0	0	0.00915656
human_dotplot_filtered_0.5_sorted.bed	0.0174268	0.0503146	0.0957853	0.118107	0.121606	0.112199	0.0746403	0.0393945	0.00560778	0.016716	0.0165689	0.0497001	0.103695	0.131849	0.138182	0.12619	0.0753102	0.0371231	0.00532291	0.0158659	0.206898	0.207021	0.211406	0.297238	1	0.184219	0.0255347	0.00330651	0.000764511	0.206898	0.0104074	0.0339191	0.0833766	0.186776	0.242469	0.167763	0.0853435	0.0443179	0.0191573	0.00982643	0.0154731	0.0567434	0.0994241	0.215437	0.275758	0.229566	0.11774	0.0737459	0.0386198	0.0135771	0.0104883	0.0339275	0.081746	0.179725	0.25258	0.166782	0.0874322	0.0378235	0.0154411	0.00993092	0.0162335	0.0595917	0.101139	0.219923	0.284769	0.235017	0.1197	0.0742778	0.0388009	0.0145017	0.135197	0.135249	0.137288	0.151584	0.180963	0.196191	0.174715	0.129881	0.0802869	0.135197	0.0814135	0.0817017	0.100534	0.200953	0.329899	0.23377	0.0998178	0.0519851	0.0273106	0.220353	0.220462	0.231491	0.306702	0.336156	0.203474	0.0932132	0.0490101	0.0247452	0.220353	0.0814135	0.272322	0.272322	0.272322	0.274279	0.294151	0.256466	0.123097	0.058015	0.0292135	0.272322	0.0629483	0.0931669	0.123461	0.185169	0.218243	0.174691	0.0959629	0.0721017	0.0665782	0.0621849	0.00603691	0.00974911	0.00989842	0.00697085	0.00587494	0.00587494	0	0	0	0.00596594
